title;first name;last name;jub;issue_date;other;nachruf/tode;Geburt/Tod
Dr.;Heinz;Pringsheim;-;-;8o:27.4.62;-;-
-;Emmi;Prius-Feuerstein;-;-;Todesanz.22.6.62;-;-
Prof.;Jochanan;Ratner;-;-;E.(geb.lS91)Nachr.12.3.65(Ollendorff);-;-
-;Arhtur;Rau;-;-;Nachr.9.2.62;-;-
-;Gustav;Regler;-;-;Nachr.15.2.63;-;-
Dr.;Hans;Reichmann;-;-;Nachr.5.6.64  (HT);-;-
Dr.;Paul;Riesenfeld;-;-;Nachr.4.6.65;-;-
Dr.;Gabriel;Riesser;-;25.1.63;loo.Todestg;-;18o6-63
-;Paula;Risch;75;9.11.62;GLu)  s.a.Wirtin  f.Tausend:15.11.57(Geis);-;-
Dr.;Nehemia;Robinson;-;-;Nachr.31.1.64(HT);-;-
-;Eleanor;Roosevelt;-;-;dachr.16.11.62;-;-
-;Felix;Rosen;-;-;P.  75:(Sonderbeilage)4.5.62;-;-
Dr.;Eduard;Rosenbaum;75;27.7.62;HT);-;-
Dr.;Adolf;Rosenberg;-;-;Nachr.7.2.64;-;-
Dr.;l«eo;Rosenbliith;-;-;"7o;23.8.63(BC)";-;-
-;;Rosenbliith;-;-;Dr.Martin  Nachr.l2.7.63/19.7.63(SN);-;-
Prof.;Paul;Rosenstein;-;-;Nachr.2o.11.64;-;-
Dr.;Kurt;Rosenthal;-;-;Nachr,25.1.63;-;-
Dr.;Theodor;Rosenthal;-;-;Nachr.3.7.64;-;-
-;Erich;Roth;-;-;Nachr.2o.7.62(LCohn)  /lo.S.62  /21.9.62;-;-
-;Prof;Roth;-;5.4.63;.-^eon  Kritik  HBergman);-;-
-;Arnold);26.lo.62(RW;-;-;;-;-
-;J.J.;Rousseau;-;29.6.62;25o.Geburtstg;-;-
Dr.;Chanan;Rubin;-;-;Hans  Nachr.9.11.62(Preuss);-;-
Dr.;Arthur;Ruppin;-;11.1.63;2o.Todestg(Brief  Senator);-;-
-;Kurt;Ruppin;-;-;7o:lo.4»64;-;-
-;Julius;Sachs;-;-;7o:1.3.63;-;-
-;Nelly;Sachs;-;-;(Times  1,11)21.12.62;-;-
-;Erich;Salomon;-;17.1.64;der  1.Bildreporter  ht);-;-
Dr.;Hans;Salomon;-;-;Nachr.15.6.62(HT);-;-
-;Clara;Samuel;-;-;Nachr.2.3.62(ECL);-;-
-;Edith;Samuel;-;-;Nachr.26.6.64;-;-
-;Jakob;Sandbank;-;29.5.64;25.Todestg  GLu);-;-
-;J.P.;Sartre;-;-;Biogr.9.2.62;-;-
-;Paul;Schallück;-;-;Notiz  26.lo.62;-;Köln
-;Shin;Schalom;-;-;Rez.5.4.63(MMayer);-;-
-;Moshe;Schareth;-;-;Nachr.16.7.65(HT);-;-
-;Mordechai;Schattner;-;-;Nachr.1.5.64(Lotan);-;-
-;nargathe;Sehelas;-;-;Todesanz.27.9-63;-;-
-;Fr.W.;Schelling;-;5.7.63;Mythos  u.Bibel  HBergman)  /26.1J.63;-;-
Dr.;Fritz;Schiff;-;-;Nachr.18.12.64;-;-
-;Jacob;Schiff;-;-;Frkft  Reminiszenz  3o.3.62(EMayer);-;-
-;Joseph;Schildkraut;-;-;Nachr.7.2.64;-;-
Rabb.;Wilh.;Schlesinger;-;25.5.62;25.Jubiläum;-;-
-;Basilea;Schlink;-;-;;-;dt.Diakonissin
-;Arthur;Schnitzler;-;16.3.62/18.5.62;tg;-;1862-1931
-;Arnold;Schönberg;-;25.9.64;;-;-
Dr.;Fritz;Schoenfeld;-;4.1.63;Nachr.XI;-;-
