title;first name;last name;jub;issue_date;other;nachruf/tode;Geburt/Tod
Dr.;Abraham;Landsberg;75;27.04.1962;HT);-;-
-;Silvius;Landsberg;-;26.04.1963;WÃ¼rdigung  Gottgetr);-;-
Prof.;Franz;Landsberger;-;-;Nachr.10.4.64;-;-
;Else;Lasker-Schüler;;;;;
-;Ferdinand;Lassale;-;06.11.1964;loo.Todestg;-;-
Dr.;Max;Laufer;-;-;Nachr.25.1.63;-;-
Dr.;Fr.E.;Laupheimer;-;26.02.1965;;-;HBarth
-;Hersch;Lauterpacht;-;04.05.1962;Hersh  2.Todestg;-;-
-;T.E.;Lawrence;-;07.06.1963;Briefe  Arnold);-;-
-;Bernard;Lazare;-;11.06.1965;loo.Geburtatg;-;-
Dr.;Julius;Leber;-;02.08.1963;(PRosenblÃ¼th);-;SPD-FÃ¼hrer
Dr.;Siegfried;Lehmann;-;05.01.1962;(Gedenken:7o);-;-
Prof.;Theodor;Lessing;-;-;"1872-1933)	x.  faS""  Ct<L-  )  '  /";-;-
Dr.;John;Levy;-;-;"7o:8.2.63	U";-;-
-;Shmarjahu;Levin;-;18.06.1965;3o.Todestg;-;-
-;Anna;Levy-Salz;-;03.12.1965;Nachr.;-;-
Dr.;Ernst;Lewy;-;-;Nachr.  lo.5.63(MTP);-;-
-;Philipp;Lichtenstein;-;-;Nachr.9.3.62;-;-
;Richard;Lichtheim;;10.05.1963;Nachruf;;
Prof.;Hans;Liebeschütz;-;-;7o:29.11.63(HT);-;-
-;E.M.;Lilien;-;25.5.34);"Jlid.  Rundschau""";-;-
Dr.;Eduard;Liepmann;-;-;Nachr.3.1.64;-;-
-;Shlomo;Lion;-;-;7o:22.11.63;-;-
;Joachim;Lipschütz;;;;;
-;Marianne;Littmann;-;-;Todanzâ€ž9.8.63;-;-
-;Berl;Locker;75;01.06.1962;AdlerRudel);-;-
Dr.;Gustav;Loeffler;;;;;
Dr.;Giora;Lothan;-;-;6o:13.7.62(HT,MTP);-;-
-;Jakob;Löw;-;-;"Nachr.21.6.63	H  T  )";-;-
-;Alexander;Löwenstein;-;-;9Â°:11.1.63;-;-
Dr.;Fritz;Loewenstein;-;-;;-;perez
-;Joseph;Löwy;-;-;in  roemor.29.lo.65;-;-
Rabb.;S.;Löwy;-;-;8o:3.9.65;-;-
Dr.;E.G.;Lowenthal;-;25.12.1964;"6o:  HT)	â€”w  *â€¢'";-;-
;Samuel;Lublinski;;;;;
-;Bernhard;Lustig;-;06.09.1964;"8o;";-;-
-;David;Luschnat;-;-;7o:8.1o.65;-;-
-;Erich;Lüth;-;31.01.1964;Erich(  geb.  19o2)6o:  irr);-;-
-;Gustav;Mahler;-;-;;-;186o-1911
;J.L.;Maimon;;;;;
-;Thomas;Mann;-;-;l.Briefbd.2.2â€ž62(Gottgetr);-;-
Dr.;Alfred;Marcus;-;-;"Nachr.26.1.62	""	t  /'";-;-
-;Hanna;Marcus;-;-;Nachr.21.5.65;-;-
Dr.;Max;Marcuse;65;06.04.1962;;-;-
-;Julius;Margolinski;-;-;7o:26.11.65;-;-
-;Ludwig;Markowicz;-;-;Nachr.21.12.62(I-Uacohs  on);-;-
Dr.;Walter;Mannheim;-;-;7o:  22.lo.65;-;-
;Simon;Marks;;;;;
-;Roland;Marwitz;-;-;Nachr.5.1.62;-;-
-;Zenta;Maurina;-;-;Rez.16.3.62(ArnoId);-;-
-;Richard;Mayer;-;-;9o:17.9.65;-;-
Dr.;Eugen;Mayer;-;-;8o:6.6.62(ESiraon);-;-
-;Ludwig;Mayer;85;21.02.1964;;-;-
-;Ludwig;Meidner;80;08.05.1964;;-;-
-;Moses;Mendelssohn;-;25.05.1962;Judenstaatsprojekt  /7.6.62/lo.8.62;-;-
Dr.;Andreas;Meyer;-;-;"75;6.9-63(Gerling)";-;-
Dr.;Seew;Meyer;-;-;H.6o:23.8.63(Gumpertz);-;-
-;G.;Meyerbeer;-;06.05.1949;"s.""VergÃ¶tterte  jÃ¼d.Musiker""";-;-
-;Edwin;Meyersohn;-;-;7o:1.11.63;-;-
-;Chaim;Michels;-;-;Nachr.l7.4.64(BC);-;-
Dr.;Fritz;Millner;-;-;Nachr.29.3.63(ESimon(s.a.Erlittene  Dichtg  2o.3.59);-;-
-;Rafael;Mohar;-;01.03.1963;Gedenkausstellg;-;-
-;Hans;Moller;-;-;Hachr.17.lo.62(Ollendorff);-;-
-;Alfred;Mombert;-;09.02.1962;18'72-1942)Mystifikation  ht);-;-
-;Lily;Montagu;-;-;Lily  Nachr.15.2.63;-;-
;Judith;Montfiore;;;;;
-;Leonard;Montefiore;-;-;G.  Nachr.12.1.62/26.1.62;-;-
-;Moses;Montefiore;-;-;loo.Todestg  seiner  Frau  Judith  lo.8.62;-;-
Dr.;Kurt;Mossberg;-;25.06.1965;A.Museum  Haaretz;-;-
-;Christian;Morgenstern;-;-;Rez.Briefe  5.lo.62(HBergman);-;-
Dr.;Siegfried;Moses;-;-;DavidRosiliopreis  3o.3.62;-;-
-;Margarete;Moses;75;15.10.1965;;-;-
Dr.;Herman;Muller;-;-;7o:18.lo.63(HT);-;-
-;Anita;Müller-Cohen;-;-;Nachr.6.7.62;-;-
Dr.;Leo;Münz;-;-;Hachr.14.5.65(HT);-;-
-;Fritz;Naphtali;-;25.05.1962;Perez  l.Todestg  Lotan);-;-
-;Thea;Nathan;-;05.11.1965;Jerusalempreis;-;-
Dr.;Bruno;Nathan;-;-;Vo:15.6.62;-;-
-;Wolfgang;Nehab;-;-;Naehr.Zo.il.62;-;-
-;Hertha;Neufeld;-;-;8o:24.12.65;-;-
-;Robert;Neumann;65;25.05.1962;;-;Schriftat
Dr.;Fritz;Neumann;-;-;Simon  Nachr.16.4.65/  Zo.4.65;-;-
Rabb.;Israel;Nobel;;;;;
Dr.;Max;Nordau;-;14.06.1963;4o.Todestg    geb.  1849)â– ;-;-
Dr.;Hugo;Nothmann;-;-;Zwi  Nachr.lo.9.65(AStern);-;-
-;Samuel;Nothmann;-;-;Naohr.9.Z.62(0Weissmann);-;-
Dr.;Meinhold;Nussbaum;-;18.9.6j;lo.Todestg  ffr,Lion);-;-
Dr.;Robert;Nussbaum;-;-;Naohr.9.11.62JLev^)  /21.12.62(Blumenfeld);-;-
-;Kaete;0livenbaum;-;-;te  Tode  ganz.25.1.63;-;-
;Erich;Ollenhauer;;;;;
Prof.;Franz;Oppenheiner;-;-;2o.3.64;-;1864-1943
-;Sascha;Parnes;-;-;Nachr.l7.1.64(WSchocken);-;-
-;Bertha;Pappenheim;-;-;Biogr.27.3.64;-;-
Dr.;Rudolf;Pechel;;;;;
Dr.;Alfred;Perlmutter;-;-;5.Todestg  3o.3.62;-;-
-;Leo;Perutz;-;21.09.1962;posthume  Ehrung;-;-
Rabb.;A.;Philipp;60;06.03.1964;;-;-
-;Luise A.;Philipp;-;-;A.Nachr.7.8.64;-;-
Dr.;Fritz;Pick;75;25.05.1962;;-;-
-;Ludwig;Pineoffs;-;-;Nachr.lo.1,64(HT);-;-
Dr.;Ludwig;Pinner;-;29.01.1965;75:  3Â«  HT  GLu);-;-
-;Siegfried;Pirker;-;-;Nachr.7.12.62;-;-
Dr.;S.J.;Plaschkes;-;-;;-;ZKr
Prof.;Menko;Plaut;-;-;Nachr.14.2.64;-;-
Dr.;R.;Pokorny;-;-;7o:lo.7.64;-;-
-;Max;Pottlitzer;-;-;M.  Nachr.2,11.62;-;-
Dr.;Bruno;Powitzer;-;-;Nachr.21.5.65;-;-
Dr.;Joseph;Prager;-;25.06.1965;80:  MJacobsohn);-;-
-;Willy;Preiss;-;-;Nachr,24.8.62;-;-
Dr.;Max;Preuss;-;-;7o:8.11.63;-;-
Dr.;Walter;Preuss;-;-;7o:22.1.65(HT);-;-
Dr.;Heinz;Pringsheim;-;-;8o:27.4.62;-;-
-;Emmi;Prius-Feuerstein;-;-;Todesanz.22.6.62;-;-
;Arthur;Rank;;;;;
Prof.;Jochanan;Ratner;-;-;E.(geb.lS91)Nachr.12.3.65(Ollendorff);-;-
-;Arthur;Rau;-;-;Nachr.9.2.62;-;-
-;Gustav;Regler;-;-;Nachr.15.2.63;-;-
Dr.;Hans;Reichmann;-;-;Nachr.5.6.64  (HT);-;-
Dr.;Paul;Riesenfeld;-;-;Nachr.4.6.65;-;-
Dr.;Gabriel;Riesser;-;25.01.1963;loo.Todestg;-;18o6-63
-;Paula;Risch;75;09.11.1962;GLu)  s.a.Wirtin  f.Tausend:15.11.57(Geis);-;-
Dr.;Nehemia;Robinson;-;-;Nachr.31.1.64(HT);-;-
-;Eleanor;Roosevelt;-;-;dachr.16.11.62;-;-
-;Felix;Rosen;-;-;P.  75:(Sonderbeilage)4.5.62;-;-
Dr.;Eduard;Rosenbaum;75;27.07.1962;HT);-;-
Dr.;Adolf;Rosenberg;-;-;Nachr.7.2.64;-;-
Dr.;Leo;Rosenblüth;-;-;"7o;23.8.63(BC)";-;-
Dr.;Martin;Rosenblüth;-;-;Dr.Martin  Nachr.l2.7.63/19.7.63(SN);-;-
Prof.;Paul;Rosenstein;-;-;Nachr.2o.11.64;-;-
Dr.;Kurt;Rosenthal;-;-;Nachr,25.1.63;-;-
Dr.;Theodor;Rosenthal;-;-;Nachr.3.7.64;-;-
-;Erich;Roth;-;-;Nachr.2o.7.62(LCohn)  /lo.S.62  /21.9.62;-;-
Prof.;Leon;Roth;-;05.04.1963;.-^eon  Kritik  HBergman);-;-
-;;Rothschild;-;-;;-;-
-;J.J.;Rousseau;-;29.06.1962;25o.Geburtstg;-;-
Dr.;Chanan;Rubin;-;-;Hans  Nachr.9.11.62(Preuss);-;-
Dr.;Arthur;Ruppin;-;11.01.1963;2o.Todestg(Brief  Senator);-;-
-;Kurt;Ruppin;-;-;7o:lo.4Â»64;-;-
Dr.;S.;Saalheimer;;;;;
