first name;last name;issue_date;other;title;nachruf/tode;jub;Geburt/Tod;ID
;Krllner;16.10.70;Viktor;-;Nachruf;-;-;MBNR.6.PER.220
Robert;Yempner;-;MH,  Ossietzkriedaille  ?2.0.70;-;-;-;-;MBNR.6.PER.221
Istvan;Fertesz;77.1.7%;;-;Nachruf;-;-;MBNR.6.PER.222
Riva;Fimel;-;279,0,.77;-;Nachruf;-;-;MBNR.6.PER.223
;Kirschner;-;raula  E5    1%.%.70;-;-;-;-;MBNR.6.PER.224
;Kisch;17.11.77;Guido  Burckhardtrreis;-;-;-;-;MBNR.6.PER.225
Tienry;HKissinger;13.10.72;  biosr.;-;-;-;-;MBNR.6.PER.226
Isidorf;Klaher;-;  %o  14.4,72;-;-;-;-;MBNR.6.PER.227
Josef;Klarzein;27.10.70;llachruf;-;-;-;-;MBNR.6.PER.228
'’aul;Kech;-;dachruf  27°.%.7°;-;-;-;-;MBNR.6.PER.229
!va;Klein-Tranke;-;Vachrmuf  6.971;-;-;-;-;MBNR.6.PER.230
;Klein-Haparasch;-;Jakob  (gest.11.10.70)lachruf  ?0.°.71;-;-;-;-;MBNR.6.PER.231
Ütto;Klenrerer;1.2.70;iar.Staatshürrer;-;-;-;-;MBNR.6.PER.232
iÄnnette;Eltzel;-;“achmıf  °.9.70;-;-;-;-;MBNR.6.PER.233
Richard;Yoehner;25.7.7?;B.Elat  ib.K.(RT);-;-;-;-;MBNR.6.PER.234
Hans;Kohn;-;llachruf  HT  9,4,71;-;-;-;-;MBNR.6.PER.235
K@the;Kollwitz;-;Au'stelle,  Tele;-;-;-;-;MBNR.6.PER.236
Sertrnd;Kolmar;0.10.70;Feitdokumente;-;-;-;-;MBNR.6.PER.237
;Korezak;5.10.77;Janusz  rostum.  !riedenspreiss;-;-;-;-;MBNR.6.PER.238
!ritz;Kortner;31.17.10;Todesnachr.;-;-;-;-;MBNR.6.PER.239
.\rthur;Koestler;-;_Antobioer.  wu,  9,7;-;-;-;-;MBNR.6.PER.240
;Kraft;-;jemer  3  Ss  755,71;-;-;-;-;MBNR.6.PER.241
Grete;Prakauer-iolf;-;"!iachmuf  P."".70";-;-;-;-;MBNR.6.PER.242
Senator;Kramer;-;Gerh'rd  Hachruf  3,6,73;-;-;-;-;MBNR.6.PER.243
;Kraemer;1.17.77;Zi  Nachmıf  HT;-;-;-;-;MBNR.6.PER.244
;Zre]l;29.4.7?;"älnelm  ""uhestand";-;-;-;-;MBNR.6.PER.245
lrof.Barııch;Kurzeil;-;lachruf  *.2.77;-;-;-;-;MBNR.6.PER.246
;Krilecki;4.5.73;rich;-;Nachruf;-;-;MBNR.6.PER.247
;Landau-llithsam;17.10.77;Charlotte  Wachruf;-;-;-;-;MBNR.6.PER.248
Geore;Tandaner;-;n.Bernh.'!olff  24,7.70;-;-;-;-;MBNR.6.PER.249
'ran;laor;-;To  HT  ?9.5.70;-;-;-;-;MBNR.6.PER.250
ilse;"Insrer-Sch""ler";-;?5.Tedestar  ?%.1.70;-;-;-;-;MBNR.6.PER.251
Taul;larırıs;1.1.71;?o.todestae;-;-;-;-;MBNR.6.PER.252
:eter;Leers;27.41.75;;-;Nachruf;-;-;MBNR.6.PER.253
Rndolf;Leffmann;27.6.7?;llachruf;-;-;-;-;MBNR.6.PER.254
;Jehmann;7.2.70;"""rnst  Direktor  Bankleumi";-;-;-;-;MBNR.6.PER.255
Channah;jeiboritz-ilberthal;-;lachruf  Te;-;-;-;-;MBNR.6.PER.256
;Iammer;2.9.70;linister  irnst  jachmf;-;-;-;-;MBNR.6.PER.257
Taul;Lendwmi;-;äÄntisemitism  0hne  Juden  164057”;-;-;-;-;MBNR.6.PER.258
ferez;leschen;-;"Nachscharah-""ssay  5,1,  7°";-;-;-;-;MBNR.6.PER.259
ädolf;Leschnitz>r;11.7.77;Dr.n.c.Berlin  ı/;-;-;-;-;MBNR.6.PER.260
;Lessing;1.7.77?;Theodor  loo,Geburtstasz;-;-;-;-;MBNR.6.PER.261
Bettv;leszynsky;-;üachmf  2?7.2,.70;-;-;-;-;MBNR.6.PER.262
larlo;levi;-;70  24,11.72;-;-;-;-;MBNR.6.PER.263
Franz;levi;22.10.71;schloschim;-;-;-;-;MBNR.6.PER.264
Rosa;levin;-;11,5.7%;-;Nachruf;-;-;MBNR.6.PER.265
;levin-Varnharen;-;Rahel  ?oo.Geburtstar  ?1,.°.71;-;-;-;-;MBNR.6.PER.266
Rugen;Leving;-;Biogr,  ?5,5.73;-;-;-;-;MBNR.6.PER.267
Jchn;Levy;9.2.73;80;-;-;-;-;MBNR.6.PER.268
ZIulius;Levy;-;90  ?.6.72;-;-;-;-;MBNR.6.PER.269
Louis;lewandowski;-;150,Geburtstag  16.”.73;-;-;-;-;MBNR.6.PER.270
Tr'ch;lewin;22.7.7?;Elieser  70  HT;-;-;-;-;MBNR.6.PER.271
Daniel;lerin;-;Eurt  29,1,71;-;Nachruf;-;-;MBNR.6.PER.272
Rsa;levin;17.17.71;9  (s.Levin,?.?);-;-;-;-;MBNR.6.PER.273
ärnst;levwy;11.5.73;"lo.""odestag";-;-;-;-;MBNR.6.PER.274
Jizchak;lewy;4.8.72;Kurt  75;-;-;-;-;MBNR.6.PER.275
;Lichtheim;-;Richar:  -u.A.Biran  5  2  9,7;-;-;-;-;MBNR.6.PER.276
;Liebeschiitz;-;Hans  lez  Simmel/Rosenzweir  %0,0,70;-;-;-;-;MBNR.6.PER.277
;Lindtbere;-;"leopold  .liedersehn  ?,."".71";-;-;-;-;MBNR.6.PER.278
Schlomo;Lion;-;Als  ich  Zionist  wırde  ”,0,7°;-;-;-;-;MBNR.6.PER.279
;Lipshitz;-;Jacques  iachruf  15,6.73;-;-;-;-;MBNR.6.PER.280
Berl;Locker;-;18,7,72;-;Nachruf;-;-;MBNR.6.PER.281
lax;lorch;-;Kkachruf  10,%,72;-;-;-;-;MBNR.6.PER.282
Giora;Lotan;-;70  IT  29,%,7;-;-;-;-;MBNR.6.PER.283
Ürnst‘;Lothar;-;!ien)  &o  19,3.71;-;-;-;-;MBNR.6.PER.284
